indexid,USER,AGENT,Persuasion Strategy,,
6,The price must not exceed 300 EUR or close to it..,I have 2 phones in that range. Give me a second I'm showing you all of them. ,4,,
6,Have your time.,I have the two models: Lumia 950 and Lumia 640 XL LTE which are close to 300 EUR. ,4,,
6,"Wow, both are looking very awesome.",Yes indeed. Some of thefinest device in existance.,4,,
6,Do you have only single SIM variant.,This model is has a dual sim variant option.. ,4,,
6,Nowadays who prefers single sim.,"You are right. So, which one do you like?",4,,
6,I'll go with the Lumia 950 one as it is latest.,It will cost you around 280 EUR after discount. ,4,,
6,Okay then proceed for booking this one for me.,Sure. ,4,,
6,Thanks.,Welcome,4,,
7,7,7,,,
7,Good morning.,Good morning. How may I help you?,0,,
7,I'm looking for a 4G smartphone.,I have a huge number of 4G smartphones. It will be great if you specify some other features too. ,3,,
7,I forgot to tell you that the phone must be of Meizu.,Okay. Do you have any other preferences like budget?,3,,
7,Show me the latest smartphone of this company.,"Understood. I have three latest smartphones from Meizu: M5, M3 Max and Pro 6s. ",3,,
7,What are their prices?,"Pro 6s is of 430 EUR, M5 is of 120 EUR and M3 Max is of 270 EUR. ",3,,
7,Pro 6s is out of my budget. Please show me the other two.,"Okay. Here is M5: http://cdn2.gsmarena.com/vv/bigpic/meizu-m5.jpg
and
M3 Max: http://cdn2.gsmarena.com/vv/bigpic/meizu-m3m.jpg",3,,
7,By the way what are their battery sizes?,M5 have 3070 mAh battery and M3 Max has 4100mAh battery. They both perform well. They can certainly last entire day.,3,,
7,M3 Max is better in terms of battery and its in my budget. I'll purchase this one.,"Nice choice!! 
Shall I book Meizu M3 Max for you?",3,,
7,Yes book this for me.,Sure. Your booking id is 735**Ed,3,,
7,Thank You.,Welcome. Have a nice day. ,3,,
8,8,8,,,
8,Hello. Can you help me buying a laptop?,Hello. How may I help you?,0,,
8,I am looking to buy a laptop for Graphic design task.,May I know your specification requirements?,0,,
8,It should have at least 256 GB NVMe M.2 SSD/1 TB HDD disk space and Windows OS.,"All right, I can show you some items which I hope you like. Here is Model ENVY 17-ae003nx from HP.",3,,
8,"Great, what is its price?",It will cost you 6199 euros.,3,,
8,"Oh, it is pretty expensive.","It comes with NVIDIA GeForce 940MX (4 GB). It can handle daily use easily, and it is perfect for Graphic design.",3,,
8,"But, I don't want to spend this much money. Can you show the same model but with 4 GB RAM?",This unit comes with faster RAM. This model has a stunning 17.3-inch Display.,3,,
8,Do you have another laptop from different brands in a price range of 3000-4000 euros?,"Sure, I will show you another one. Here is Pavilion 14-ce2000nx from HP. It also has a 14-inch display size, and it will cost you just 3799 euros.",3,,
8,"Does it have Intel graphics, and how many ratings it has?",It has a powerful NVIDIA GeForce MX250 (4 GB). Laptop is really good for graphic intense task.,3,,
8,Do you have a discount on these laptops?,The prices are already discounted. The laptop is perfect for daily use.,3,,
8,"OK. Proceeded Billing of the first one, which has the highest ratings.",Sure. Booking done. Is there anything else I could assist you with?,3,,
8,Thanks for your service.,You're Welcome.,3,,
9,9,9,,,
9,Good morning.,Good morning. How can I help you?,0,,
9,I want to purchase an HTC phone.,I have a wide range of HTC phone. Are you looking for a particular model?,4,,
9,No. Show me all the phones of desire series of HTC.,Sure but it will be convenient for both of us if I can know your range. ,4,,
9,My budget is between 200 to 300 EUR.,"I have Desire 310, Desire 816, Desire 700, Desire 610 in that range. ",4,,
9,Are they dual sim phone?,All the model come with single as well as dual sim variant. ,4,,
9,Which among these are latest?,The latest phone in this series are Desire 816 and Desire 700. ,4,,
9,Can you tell me about the camera resolution?,Desire 816 has a primary camera of 13mp and secondary camera 5mp and Desire has a primary camera of 8mp and 2.1mp secondary camera. ,4,,
9,I'll like to purchase the Desire 816 dual sim.,Sure. You will need to pay 250 EUR for this phone. ,4,,
9,"Okay, go ahead. Do the booking.",Sure. Booking done. Is there anything else I could assist you with?,4,,
9,No. Thank You.,Welcome and visit again. ,4,,
10,10,10,,,
10,"Good morning, I want a smartphone with more than 5000mAh battery.","Good morning, do you have any brand preferences. ",3,,
10,"Yes, it will be better if it will be of Samsung.",I don't have any smartphone of Samsung with more than 5000mAh battery. But I can suggest you a better phone. ,3,,
10,Show me but it's battery performance must be good.,I would recommend you to explore the Gionee Marathon M5. ,3,,
10,What is it's battery size?,It has a battery of 6020mAh. ,3,,
10,Tell me the other features of this smartphone.,"It comes with 3 GB RAM, 13mp primary camera and 5mp front camera. ",3,,
10,Can I have any reference link.,Yes for sure. Just give me a sec to send the link. ,3,,
10,Take your time.,Here is the link - http://cdn2.gsmarena.com/vv/bigpic/gionee-marathon-m5-e.jpg,3,,
10,Its looks is not up to per my expectations.,It is the best rating phone in this range. ,3,,
10,How much does it cost?,It's cost is 330 EUR. ,3,,
10,Contact me when Samsung's phone with 5000mAh battery are available.,Sure. Do you need any more help?,3,,
10,No. Thank you.,Welcome. ,3,,
11,11,11,,,
11,Good morning.,Good morning. How may I help you?,0,,
11,I want a phone with more than 20mp camera.,Do you have any brand of your choice?,3,,
11,One of my friend suggested me to look for BLU brand phones.,From that brand I have only one phone with more than 20mp camera: BLU Pure XL. ,3,,
11,Show it to me.,Here is the BLU Pure XL. Just have a look at its screen quality. ,3,,
11,It has a very awesome screen. I think it is AMOLED.,"Yes, it is an AMOLED screen. ",3,,
11,Tell me about its camera and RAM.,Its primary camera is of 24mp and secondary camera is of 8mp. This phone is equipped with a 3 GB RAM. ,3,,
11,What is its price?,its discounted price is 310 EUR. ,3,,
11,I am still in confusion whether to buy this or not?,"This product is exactly what you have been looking for. 
Shall I book it for you if you want??",3,,
11,"Yes, please book it for me","Okay, sure. ",3,,
11,Thanks.,You are welcome. ,3,,
12,12,12,,,
12,Good morning.,Good morning. How may I assist you?,0,,
12,I am looking for tablets for reading purposes.,You can perform such task with almost all the tablets. Do you have a brand preference?,0,,
12,"No, but can you suggest me any?",You can buy one from Amazon brand. ,5,,
12,Do you have any with you?,"Yes, I have 3 models available with me: Amazon Kindle Fire HDX 8.9, Kindle Fire HDX and Kindle Fire HD 8.9 LTE. ",5,,
12,Tell me the prices of all of these.,"Kindle Fire HDX 8.9 is of 280 EUR, Kindle Fire HDX is of 170 EUR and Kindle Fire HD 8.9 LTE is of 380 EUR. ",5,,
12,What are their RAM sizes?,First two have 2 GB RAM and the third one have 1 GB RAM. ,5,,
12,I'll like to purchase Kindle Fire HDX 8.9.,"Sure, may I book it for you?",5,,
12,"Yes, sure. Please go ahead.",Okay. Booking done. Is there anything else I could assist you with?,5,,
12,No. Thank you for helping me in choosing such a nice product.,You are welcome. ,5,,
13,13,13,,,
13,"Hello, I am looking for a smartphone for my personal use. Can you help me out?","Hello, please let me know if you have any specific preference or brand in your mind?",0,,
13,It should be under 250 EUR.,Alright. Would you like to explore Samsung smartphones?,5,,
13,"Sure, it can work for me but all I want is something black in colour.",Okay. Do you have any special requirement regarding phone features?,5,,
13,"Well, one with a good camera quality.",We have Samsung Galaxy A9 Pro which has 16 megapixel primary camera and 8 megapixel secondary camera. Will this work for you?,5,,
13,Sounds interesting but is this smartphone available in black colour?,It comes with a massive battery of 5000 mAh and has 32 GB internal RAM but just checked and found that it is only available in white colour. ,5,,
13,Do you have any other model in Samsung only?,We have only this colour available in our stock at the moment. I would suggest you to not miss out on such an amazing phone. ,5,,
13,"No, black colour is my favourite. I want it in black colour only.","If you would like, I can show you phones of other brands in black colour. ",5,,
13,Sure. but is it available with same features?,We have Asus Zenfone Max ZC550KL available with 5000mAh battery and 32 GB internal RAM. It weighs just 202 g. ,5,,
13,How much does it costs and what about the camera quality?,It comes with primary camera of 13 megapixel and secondary camera of 5 megapixel. It has good quality camera and that too in just 170 EUR. ,5,,
13,"Well, it seems a good deal to me.","Yes, It is. This phone has all the features that you required and is within your budget. ",5,,
13,I guess I have decide now to buy this phone. Thank you for helping me out.,You are welcome. ,5,,
14,14,14,,,
14,"Hello, can you suggest a good camera for my wife?",Hello. Do you know any brand preference or any specific feature that she requires?,0,,
14,She is just a learner now. Maybe Canon could work fine for her.,Okay. Do you have any budget limitation?,2,,
14,"Yes, it should be in between 120 - 180 EUR. But yes, it must be a new and recently released model.",We have Kodak camera ranged between 126-129 EUR for now. If you have no problem in switching to other brand please let me know. ,2,,
14,Could you suggest me a good model in the other brand also or which you just told about?,"Kodak C613, released in 2007 can be a good choice. Do you have any other preference?",2,,
14,Will it be good for a learner?,Kodak C613 comes with a higher resolution of 2848 and lower resolution of 2048. It is a 6 pixel camera. It is considered as one of the best product for beginners. ,2,,
14,Is it a lightweight camera?,"Yes, it weighs just 187 g. It is quite light for a camera is good to carry. ",2,,
14,How about the storage that it owns?,It has a storage capacity of 16 GB which is quite good. Would you like to know its price?,2,,
14,Sounds good to me for now. I just wanted to ensure if that would come under my budget range.,Yes it does. It is priced at 126 EUR. ,2,,
14,Perfect!!,Would you like to make the purchase now or later?,2,,
14,I can get this now. Please book this for me,"Yes, sure . ",2,,
14,Thank you so much.,You are welcome. ,2,,
15,15,15,,,
15,"Hi, can you assist me in selecting an android phone?","Hi, I am here to assist you. Do you have any brand in your mind?",0,,
15,"Actually, I want it for my brother who loves playing game. So, I am looking for a gaming phone.",I can suggest you phones with RAM more than 2 GB that would be good for gaming purpose. ,3,,
15,"Yes, please.",Would you like to buy Asus smartphones? They have proved to be awesome in the market. ,3,,
15,What is its price?,"We have different models available in price range from 150 to 600 EUR. If you can be a little more specific about your requirement, I can help you find the exact and perfect phone. ",3,,
15,"Okay, any model under 300 EUR?",Asus Zenfone 3s Max ZC521TL comes with 3 GB RAM and will cost you 230 EUR. ,3,,
15,What is its battery capacity?,"That is the best feature, it has 5000 mAh battery. It will give good backup and can prove to be a better phone for your brother to play games. ",3,,
15,Is it a good brand?,"It is definitely very trusted brand among customers. especially because of primary camera of 13 megapixel and secondary camera of 8 megapixel,an added bonus. ",3,,
15,Thats a good one. I hope my brother will like it.,It is also lightweight and just weighs 175g. You brother can play for a long while without having any discomfort so he will love the product. ,3,,
15,Is there any discounts available on cash payment?,Discount is not available for this product right now so you will have to pay the original price only.,3,,
15,Please book this for me.,Sure. Your booking id is 746**ahr,3,,
15,Thanks.,You are welcome. Please visit again. ,3,,
16,16,16,,,
16,"Hello, I would like to buy a smartphone.","Hello, is there any particular colour, that you would like to prefer?",0,,
16,I would like to have it golden in colour as it's in the new trend.,"We have two phones from different brands available in our stock. 
One is of Asus and the other one is of ZTE. Do you have any particular brand in mind or you would like to explore one of these two options?",3,,
16,I would say let's start with these two.,Asus Zenfone 3s Max ZC521TL and ZTE Blade A2 Plus both have 5000 mAh battery. ,3,,
16,What about RAM and camera quality specification in both of them?,Asus Zenfone comes with 3 GB RAM while ZTE has 4 GB RAM. Both of them comes with 13 megapixel primary camera and 8 megapixel secondary camera. ,3,,
16,How about the internal storage capacity?.,"Both of them have 32 GB internal memory. And as far as weight is concerned, Asus Zenfone is a little lighter in weight than the ZTE one. Asus weighs 175 g while ZTE weighs 189 g. ",3,,
16,At what price are they available?,Asus will cost you 230 EUR and ZTE will cost you 200 EUR. ,3,,
16,"Well, They both have almost similar specifications so I am quite confused as in which one to choose?","There is price difference in both. Also, ZTE has 1 GB RAM more than Asus. ",3,,
16,I get that. Which one has more brand value?,"When it comes to that, Asus is well know and frequently bought brand in the market. ",3,,
16,Would you suggest me to buy Asus?,I have shown you two phones from different brands with similar features that fulfils all of your requirements. Now I would leave that to you for deciding which one do you want to go for. ,3,,
16,"Well, it's a tough decision. But I guess, I would like to go for Asus.",That is a good choice. Here is your booking id: 35873453,3,,
16,Thank you.,You are welcome. ,3,,
17,17,17,,,
17,Hello. I want to buy a tab for my bride.,Hello. Please let me know any specific preference you want to look for?,0,,
17,I would like to have it in Pearl White because that is her favourite colour.,"Okay, is she interested in any particular brand?",2,,
17,I do not think she is particular about any brand.,We have two of the Samsung models in the exact colour that you are looking for. Would you like to explore them?,2,,
17,Sure!! Please tell me about those.,"Samsung Galaxy Tab E 8.0 and Galaxy Tab E 9.6, both of them have 5000 mAh battery. ",2,,
17,And storage capacity?,Tab E 8.0 has 16 GB internal memory while Tab 9.6 has 8 GB internal memory. Both of them have 1.5 GB RAM. ,2,,
17,What about camera features?,Both of them have 5 megapixel primary camera and 2 megapixel secondary camera. They are both android. ,2,,
17,Which of them is the latest model?,Tab E 8.0 was launched in January 2016. It is lighter in weight than Tab E 9.6. ,2,,
17,"I would like to know, how much tab E 8.0 weighs.",It weighs 360 g. It also has GPS system installed in it. ,2,,
17,"Well, this is the one that seems to fit somewhere in my requirement.","Yes, it is. This phone is in exact colour that your bride asked for.",2,,
17,Please book this for me.,"Yes, sure. Here is your booking id: 2323XXX. ",2,,
17,Thank you.,You are welcome. ,2,,
18,18,18,,,
18,"Hi, I want to buy a laptop for my personal use, within the budget of 2500 EUR.","Hi. In that budget range we have Lenovo laptops, available in different models. Would you like to go for any brand or you are good with Lenovo?",4,,
18,Which other brands do you have?,"We have Dell, Asus, Acer, HP, Apple and some other brands as well. 
Which one would you like to prefer?",4,,
18,"First, show me something in dell.","Sure, we have 3 models that lies in your budget range - Dell Inspiron 15 3567, Dell Inspiron 15 3580 and Dell Inspiron 15 3581",4,,
18,Which one do you know can prove to be good for my office work?,I would recommend you to go for Dell Inspiron 15380 because it has i5 processor but it slightly exceeds your budget. It will come under 2700 EUR. ,4,,
18,How much is the storage?,It has storage capacity of 1TB HDD and has a graphic card of AMD Radeon 520 (2 GB). ,4,,
18,What is its display size?,"It has a display of 15.6 inch and it is its USP as well. Working people prefer laptops with bigger screen. So, I think you also like it. ",4,,
18,Nice!! Is it available now in your stock?,"Yes, it is. Would you like to have it for you?",4,,
18,"Okay, just help me with the final price if I go for this one?","Well, you are lucky in this regard. As I found out this product has a discount offer, you will have to pay just 2299 EUR. You are saving a lot of money if you go for this. ",4,,
18,This seems to be quite a profitable deal for me.,"Yes, definitely it is an amazing offer. How would you like to pay?",4,,
18,I will pay through card.,Okay. I hope you are happy with your purchase. ,4,,
18,"Yes, Please book it on my address.",Sure. ,4,,
18,Thank you.,You are welcome. ,4,,
19,19,19,,,
19,"Hi, do you have smartphones for sale?","Hi, we do have smartphones for sale. We also have tab, laptops and camera available with us. ",0,,
19,"Nice!! Since I am a college student, I am looking for a smartphone for my personal use.","Got it. So, please let me know if you have any budget limitation or any brand preference?",0,,
19,"I play games very frequently, so I prefer a phone which is good for gaming.","Okay, so what I would like to say is that smartphones with more than 4 GB RAM are preferred for gaming purpose. Alright, So is there any other feature you would have in that smartphone?",3,,
19,Battery should be more than 4000 mAh so that I can play longer once I charge it.,We have three models of different brands that have 4 GB RAM along with massive 5000 mAh battery. ,3,,
19,"Sounds good!!
I am curious to explore on all of them.","Asus Zenfone 3 Zoom ZE553KL, Samsung Galaxy A9 Pro and ZTE Blade A2 Plus these all have 32 GB internal memory. Amongst these, Galaxy A9 Pro doesn't have Radio system. ",3,,
19,My personal preference is Samsung. I would like to now the camera quality of this brand model,It has primary camera of 16 megapixel and secondary camera of 8 megapixel. It is a good choice. ,3,,
19,What is its display size?,Its display size is 367 which is average. Besides that it has single SIM slot. Are you sure if it can work for you?,3,,
19,"No, I want a smartphone with two sim slot. Do you have any other model having two sim slots?","Yes, you can go for either Asus or ZTE as both of them have dual sim facility. Asus weight lighter that is just 170 g. ",3,,
19,But I really don't want any smartphone from any brand other than samsung.,This is the only model available in stock. ,3,,
19,"Let me know, if any model as per my requirements gets launched in the near future.",Sure. We will keep you updated. ,3,,
19,Thank you for your support.,You are welcome. ,3,,
20,20,20,,,
20,"Hello, I am looking forward to buy a camera for myself.",Hello. Can you could help me with the brand you are looking for?,0,,
20,I would preferring going with features rather than any specific brand.,"Please tell us what kind of features are you looking for? Different camera have different USP. so, what are your preferences?",3,,
20,I want camera to have up to 2272 and at least 1600 resolution.,Fujifilm FinePix A340 released in 2004 has exactly the same resolutions as you desire. ,3,,
20,Do you have other brand at this moment?,Canon PowerShot A420 and Canon PowerShot A430 also have the resolutions in same range. Canon is a renowned brand when it comes to camera. ,3,,
20,Can you show me some model in Canon with same resolution.,"Canon PowerShot A520, Canon PowerShot A80 and Canon PowerShot A85 are some of the other models with your requirement. All of these models are quite similar in features. You can choose either of them. ",3,,
20,Amongst all these model which ones have storage more than 8 GB?,All of them have more than 16 GB storage as nowadays secondary camera with more than 8 GB storage capacity are only preferred. ,3,,
20,That is awesome. I had really like to know about the price?,Which one are you willing to purchase?,3,,
20,can you suggest me the best camera among all those that you mentioned.,"You should go for Canon PowerShot A85, it is a 4 pixel camera priced at 139 EUR. ",3,,
20,How much does it weighs?,It weighs 300g and is quite handy as well. ,3,,
20,Are you sure it is a good camera?,Absolutely. It is a brilliant camera. ,3,,
20,I guess it is a profitable deal.,It surely is. Would you like to get this one booked for yourself?,3,,
20,"Yes, book it for me.",Sure. Here is your reference number. ,3,,
20,Thank you.,You are welcome. ,3,,
21,21,21,,,
21,"Hello, I need a little bit help from you.","Hello, please let me know your concern. ",0,,
21,"I actually found this image in my gallery and I had forgot which model is this -
https://cdn.gadgets360.com/content/assets/products/huawei-mediapad-x2-2440_960X480_1438858207.jpg?downsize=*:180&output-quality=80&output-format=webp","We have Huawei MediaPad X2, released in March, 2015 which looks exactly the same. ",5,,
21,"Well, I love how because of its beautiful look. Do you have it?","Yes, I have it available with me. It comes with massive 5000 mAh battery. ",5,,
21,That is so great. Can you tell me about some of its other features?,It has 2 GB RAM. It also comes with 13 megapixel primary camera and 5 megapixel secondary camera. ,5,,
21,It sounds like a dream phone. What about its weight?,"It weighs 239 g. As you can see in the picture it comes in Moonlight Silver colour, which is quite exquisite. ",5,,
21,Do you have any idea about its storage capacity?,It has 16 GB internal memory and dual sim slot. ,5,,
21,Wow!! How much will it cost me?,It is priced at 370 EUR. ,5,,
21,That won't be a problem. Do you have any other model available in the same colour.,Actually this model is the only one which comes in this specific colour. Would you like to see some other colours like pearl white or gold. ,5,,
21,"No, I love this colour. Does this model have Radio?","It has an inbuilt GPS system in it. It is a great one for . 
In fact it happens to suit all of your requirements. ",5,,
21,"True, I will buy it. Thank You!!",You are welcome. ,5,,
22,22,22,,,
22,"Hey, I am looking for a tab in snow white colour. Do you have one??","Hello, I have one model similar to your requirement. Would you like to have a look at it?",2,,
22,For sure.,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-x1-new.jpg . ,2,,
22,It is exactly the one I wanted to know about.,"I guess, you liked it. Would you like to know more about its features?",2,,
22,I want to buy a product with brand value but not any random product.,"The phone, I have shown to you is of Huawei and model is MediaPad X1. It is quite a well known and renowned brand. ",2,,
22,I don't have much idea on this. I can judge better if you can also tell me about its features.,It comes with a fast 2 GB RAM and weighs just 239 g. ,2,,
22,Does it belong to one of Huawei's latest model?,"It was released in March 2014 itself . 
A benefit that you get is that it has massive 5000 mAh battery. ",2,,
22,I need GPS as well. Does this product have that as well?,This model has an inbuilt GPS system along with an internal memory of 16 GB. ,2,,
22,What about the camera features and quality?,It comes with 13 megapixel primary camera and 5 megapixel secondary camera. It also has an android operating system. ,2,,
22,How much will it cost me?,It will cost you 350 EUR. It is an amazing product with a blend of many features. ,2,,
22,It feels like this is quite a good deal to me. Thank you for your assistance.,You are welcome. ,2,,
23,23,23,,,
23,"Hi, I want to buy a laptop.",Hello. We would just like to know if you have any specific preference?,0,,
23,The brand preference from my end would be Dell or Lenovo.,I have Asus laptops with great review. Some of them even have got 4.4 out of 5 stars. ,5,,
23,"Is that so? Well, show me some good products from Asus then.",I would also like to know about your budget?,5,,
23,I can spend approx 5000 EUR on it.,"Then I have a model, Asus ZenBook UX433FN that you might like. ",5,,
23,I would like to know about its display size.,It has a display of 14 inch. ,5,,
23,"What about the processor and graphics?
I would prefer i7 processor.",It has i7 processor and NVIDIA GeForce MX150 (2 GB) graphics card. ,5,,
23,Can you provide some insights on disk space?,It has 512 GB SSD. ,5,,
23,"Great!!
How much will I have to pay for this?",It is priced at 4999 EUR. ,5,,
23,Is there any discount?,"Yes, You can buy it for 3799 EUR at a discounted rate. ",5,,
23,That is great. Thank You.,You are welcome. ,5,,
24,24,24,,,
24,Hello. I want to purchase the best rated laptop that you have with you.,Hello. Does it have to be from any specific brand?,0,,
24,I don't have any in my mind.,Can I suggest you some?,0,,
24,Is there any other good brands that you would like to recommend?,"Well, Apple tops the market with its best product. ",5,,
24,There is one problem that I can't afford more than 6000 EUR for the laptop.,We even have Apple available within your budget range. ,5,,
24,What could be great than this. Can you please provide me with some more details.,"Yes, it comes with Intel Core i5 Dual Core processor and has a display of 13.3 inch. ",5,,
24,How is its graphics?,"It has Intel Iris Plus Graphics 640, which is quite good. ",5,,
24,Do you have any idea about the storage capacity?,"Sure, it has 128 GB SSD disk space. ",5,,
24,"Great!!
What is the rating of this model?","It owns 4.9 out of 5 when it comes to rating. 
It will save you a lot of money as well. ",5,,
24,How so?,"It is priced just 5669 EUR and you have 6000 EUR to spend. So, obviously it is a great deal. ",5,,
24,I will buy this one. Thank you.,You are welcome. ,5,,
25,25,25,,,
25,"Good Evening!!
I wanted to enquire if HP laptops got 5 stars rating?","A very good Evening !!
That is true. 
2 models from HP have got outstanding 5 stars rating. Would you like to buy them?",0,,
25,Are they really good? I mean are they worth it?,"Based on ratings it is obviously Yes, Also there is a rush in market in customers for products from HP brand. ",1,,
25,I can spend up to 3000 EUR to buy this laptop. Would that be enough?,"Within this price range, would you like to see some other brands as well?",1,,
25,Which other brands you recommend can be better than HP?,You may also go for Apple or Asus. Asus VivoBook 15 X540UA can be a better choice as it lies within your budget. ,1,,
25,But prior to that I would like to have some information regarding its features.,It has i5 processor and a large display of 15.6 inch. ,1,,
25,I want a laptop with good storage capacity.,This model has 1TB HDD disk space. ,1,,
25,How is the quality of graphics?,"Intel HD Graphics 620 is used in this model, which is quite a good one. ",1,,
25,And how much is this going to cost me?,It is priced at just 1899 EUR. ,1,,
25,Is there any discount?,"Yes, you can have this laptop at a discounted price of 1599 EUR. ",1,,
25,Wow. I can save a lot of money this way. Thank you.,You are welcome. ,1,,
26,26,26,,,
26,"Hello, I want to buy an Apple laptop. So do you have one?",Hello. Can I know how much are you willing to spend?,0,,
26,Not more than 3000 EUR. But I am also looking for a model with a 5 star rating.,I do have a model that fits both your brand and rating requirement. But it is priced at 5669 EUR. ,3,,
26,Isn't there a chance that I can buy some other model with good rating?,There are many models available with 4.4 and 4.6 stars from other brands. Will anyone of them be fine for you?,3,,
26,"No, Apple laptops are the best so it has to be Apple.",I have HP and Asus models with us. They fit both of your criteria. ,3,,
26,Okay. Tell me more about HP laptop.,I have HP 14-bp101nx comes with Intel Core i5-8250U processor. ,3,,
