User,Sentiment
True but somehow i have aversion towards Gunmetal color.,Neg
"Lovely, What is its color?",Neu
What is its price?,Neu
"Cool, I will take it.",Pos
Thanks a lot,Pos
66,66
"Hi, can you please help me in selecting a phone?",Neu
I want to buy a GPS operated phone with 15MP primary camera,Neu
How is camera quality?,Neu
How much does it cost ? ,Neu
What is its memory?,Neu
"oh, It will not solve my purpose.I want a GPS operated phone with higher internal memory",Neg
May be but I have faced problem in the past with less storage,Neu
Okay book this model for me.,Neu
Thanks for helping me.,Pos
67,67
"Hello, I want to buy a new phone.",Neu
"Yes, i need a phone with double sim in less cost",Neu
What is its battery?,Neu
What color is it?,Neu
what is its released year?,Neu
"oh,I don't want old phone.I want latest mobile phone",Neg
Yeah but still I would go for latest phone,Neg
What is its price?,Neu
ok can you book it for me,Neu
Thanks a lot for your time,Pos
68,68
"Hi,I want to buy a phone.",Neu
I want a DualSim phone in which radio works,Neu
is it so ?,Neu
but I don't want Sharp phone I want Samsung company phone,Neg
it looks good enough.,Pos
Ok please complete the booking process.,Neu
Thanks a lot for your time,Pos
69,69
"I need to buy a phone, am i at right place?",Neu
I want to buy Sony Xperia XA Ultra phone,Neu
What is its battery?,Neu
oh I thought it must be around 4000 mAH. Can you suggest me a phone with 4000 mAH battery?,Neg
But I travel a lot so need high power battery phone,Neu
What color is it available?,Neu
What is its price?,Neu
"Okay, I will buy it then.",Neu
Thanks a lot for teaching me its operation.,Pos
70,70
I wanna buy a phone which fulfills all my requirements.,Neu
I want to buy a light weight phone with good performance,Neu
what are its specification?,Neu
"I am not sure about Oppo phone. I don't want Oppo phone. Do you have some other company phone?
",Neg
it looks good.,Pos
Ok book this one for me,Neu
Thanks for helping me.,Pos
71,71
"Hello , can you help me in selecting a phone ?",Neu
 I want to buy a gold color phone with good primary camera for my son.,Neu
"I have budget constraints, it should be under 400 Euro.",Neu
What is its Display Size?,Neu
"oh , but I want a phone which has small Display Size.",Neg
But still I am not comfortable with big Display Size phone,Neg
What is its price?,Neu
"Perfect, I will take it. Kindly gift wrap it.",Pos
Thanks a ton,Pos
72,72
I am looking for a good phone,Neu
I want a small display size phone with good memory,Neu
I want in black color.,Neu
What is its OS,Neu
"Oh, I am not comfortable with Symphony but I want android phone. ",Neg
My previous phone was Android so I feel comfortable with And phone,Neu
What color is it available in your store/?,Neu
"Okay, I will book this phone",Neu
Thanks a lot.,Pos
73,73
"Good evening, I am looking for a good phone",Neu
I am looking for a silver color  LG phone,Neu
What is its internal Ram storage?,Neu
I want a LG phone with more internal RAM space,Neu
But I have faced storage problem in 16 GB phone.,Neg
"Lovely, what is its cost?",Neu
Book it for me.,Neu
Thanks dear,Pos
74,74
"Hi, I am looking for a good mobile",Neu
"Hey, I am looking for a Acer mobile",Neu
Iconia Tab A700 by Acer is in demand these days,Neu
"Oh, Grey is not my color so I want in some other color. ",Neg
But Titanium Gray color is not my favourite,Neg
What is its price?,Neu
What is its battery?,Neu
"Fine, i will take it.",Neu
Thanks a ton,Pos
75,75
"Good Evening, I want to buy a cell Phone",Neu
I want to buy a oppo phone,Neu
What is its battery?,Neu
What is its cost?,Neu
Sorry that's too expensive for me. My budget is lttle less somewhere around 400 Euro,Neg
I take your point but I don't have that much budget,Neu
What is its color?,Neu
I will take it.,Neu
I am very happy today. Thanks a lot ,Pos
76,76
"Good Evening, I am looking for a trending phone",Neu
 I need to have a phone that has high memory and good battery life.,Neu
What is its color?,Neu
Whta is its weight?,Neu
That's a bit on heavier side. Do you have something in light weight?,Neg
Yeah but I don't find comfortable to keep heavy phone in my pocket ,Neu
What is its price?,Neu
"Okay, I will take this phone.",Neu
thanks a ton,Pos
77,77
"Hey, I want to buy a phone.",Neu
I want a latest phone under 350 Euro,Neu
what is its camera quality?,Neu
What is its color?,Neu
I don't like this color. Do you have in some other color?,Neg
But Crown Gold is not my choice. Show me some other phone,Neu
what is its cost?,Neu
"Okay, I will take this phone.",Neu
You are a very good salesman. Thanks a lot,Pos
78,78
I am looking for a good phone,Neu
I want a grey color phone with radio facility,Neu
I want a dualsim phone.,Neu
What is its OS,Neu
Sorry I don't want android phone this time. ,Neg
My previous was Android. This time I want to try other OS,Neu
What color is it available in your store/?,Neu
"Okay, I will book black phone",Neu
Thanks a lot.,Pos
79,79
"Good evening, I am looking for a good phone",Neu
I am looking for a Sony mobile,Neu
What is its price?,Neu
Sorry I can not buy this Tab that's little expensive for me. Do you have other phone in lower cost around 400?,Neg
Yeah but I don't have that much budget. Do you have Sony Tab under 400 Euro,Neu
"Lovely, what is its cost?",Neu
Book it for me.,Neu
Thanks dear,Pos
80,80
"hi,can you help me in buying a phone ?",Neu
it should have small display size and high battery capacity,Neu
how much does it cost ? ,Neu
what is it's color ? ,Neu
"oh , is it possible in Gold? ",Neg
but I like Gold,Neg
what is it's cost ? ,Neu
ok can you book it for me,Neu
Thanks for help,Pos
81,81
"hi, I want to buy a new phone",Neu
It should have OS android and dual sim features,Neu
what is its cost?,Neu
what color is it?,Neu
"Oh, is it possible to get in Pearl White color?",Neg
but I would prefer in Pearl White,Neg
what's the price?,Neu
"Okay, I will book this model",Neu
Thanks a lot ,Pos
82,82
"Hey, I am looking for a good phone",Neu
It should be gps phone with good memory and secondary high camera quality,Neu
What is the price?,Neu
Does it has DualSim?,Neu
Is it new released phone?,Neu
Oh I don't want old phone. I want recent released phone,Neg
I understand but I want a recent released phone,Neg
What is the cost?,Neu
ok can you book it  for me,Neu
Thanks for help,Pos
83,83
"Hey, can you help me in buying a new phone?",Neu
I want to buy a phone under 300 Euro with good memory backup.,Neu
Does it has good camera ?,Neu
I hope it has DualSim feature in it.,Neu
what is its Display Size ? ,Neu
Oh that's big. I want small display size phone. ,Neg
ok can you book it for me,Neu
Thanks a lot for your time,Pos
84,84
"Hello, I want to buy a new phone.",Neu
I want to buy a phone with good camera quality and less weight,Neu
What is its battery?,Neu
What color is it?,Neu
what is its released year?,Neu
What is its price?,Neu
It is too costly for me. Do you have something in less?,Neg
I have budget constraints,Neu
What is its price?,Neu
ok can you book it for me,Neu
Thanks a lot for your time,Pos
85,85
"I need to buy a phone, am i at right place?",Neu
A Phone which is good for selfie and high battery capacity,Neu
No thats all.,Neu
what about primary camera ?,Neu
Oh much lesssss! I want atleast 20 MP,Neg
still i need high camera phone,Neu
what is its both camera ? ,
It sounds great.,Pos
Ok can you book it for me?,Neu
Thanks for assistance.,Pos
86,86
I want a technologically advanced mobile phone,Neu
I want Oppo phone.,Neu
It should be under 350 Euro,Neu
What is its storage,Neu
oh that is less and it will not fulfill my need. I need a phone with more space at least 32 GB,Neg
Not good for me.,Neu
What is its price?,Neu
I will take it,Neu
Thanks a lot for your help,Pos
87,87
"Hey, I need phone info.",Neu
Phone should have more memory and less weight,Neu
"Yes, Color should be Blue or Gold",Neu
What is its battery capacity ,Neu
but I need 8000mAH minimum,Neg
Okay then I will buy X9 Plus by Vivo,Neu
"OK,Thanks for information.",Pos
88,88
"Good Evening, I am in urgent need of a phone.",Neu
I don't have any specific mobile in my mind. You suggest me a good phone with internal ram of at least 32 GB,Neu
What is its memory?,Neu
What is its price?,Neu
oh that's a bit on expensive side.My budget is less around 300 Euro.  Can you suggest in less price?,Neg
But my budget is limited.,Neg
What is its color?,Neu
"Lovely, I will buy it.",Pos
Thanks a ton,Pos
89,89
"Hello, I want a good phone.",Neu
I want to buy a Motorola phone.,Neu
What is its price?,Neu
"Sorry I can't buy this , It is very costly. Do you have phone under 150 Euro?",Neg
But I can't go beyond 150 Euro,Neu
What is its color?,Neu
What is its internal RAM,Neu
I will take it .,Neu
Thanks a lot.,Pos
90,90
I wanna buy a phone which fulfills all my requirements.,Neu
Camera should be excellent and it should be in gold color,Neu
How much storage does it offer?,Neu
"oh,it seems less to me.Can you suggest a phone with 64GB internal RAM",Neg
How much is it for?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
91,91
"hi, i am in need of a new phone",Neu
I want gps operated phone with more space,Neu
What is its Display_Size?,Neu
oh that seems less.Do you have higher display size?,Neg
what is its battery?,Neu
What is its color?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
92,92
"Hi, I want a phone.",Neu
I want to buy a Vivo phone,Neu
What is its camera quality?,Neu
"But, I want 12 megapixel for Secondary Camera as well 5 MP seems very less",Neg
Still I would go for higher MP phone,Neu
"Cool, what is its memory?",Neu
What is its cost?,Neu
"Cool, I will purchase it.",Pos
Thanks a lot,Pos
93,93
I wanna buy a phone which fulfills all my requirements.,Neu
Camera should be excellent ,Neu
How much storage does it offer?,Neu
And how about the Camera?,Neu
"Oh, that’s great. How much is the price?",Neu
What other phones do you have if I want more storage?,Neu
Still 32 GB seems too less as I watch lot of movies after downloading them in my phone so need more space.,Neg
How much storage does it offer?,Neu
How much is it for?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
94,94
"hi,can you help me in buying a phone ?",Neu
it should have good primary camera and battery capacity,Neu
how much does it cost ? ,Neu
what is it's color ? ,Neu
"oh , is it possible in black? ",Neg
ok can you book it for me,Neu
Thanks for help,Pos
95,95
"Hi, can you please help me in selecting a phone?",Neu
It should have big display and high memory.,Neu
"No, That's all.",Neu
what about it's RAM?,Neu
Only 4 GB RAM ?,Neu
It is very low.,Neg
I need phone with 6GB RAM,Neu
How much it cost ? ,Neu
Ok book it for me.,Neu
Thank you,Pos
96,96
"Hello , can you help me in selecting a phone ?",Neu
 I want to buy a Gold color dualsim phone  for my son.,Neu
"I have budget constraints, it should be under 500 Euro",Neu
What is its storage?,Neu
"Oh, that is too less, I want a phone of 3 GB RAM and 32 GB internal RAM",Neg
But still I would opt for higher ram,Neg
What is its price?,Neu
"Perfect, I will take it. Kindly gift wrap it.",Pos
Thanks a ton,Pos
97,97
"Hi, I want to buy a phone for my daughter",Neu
"Yes, mobile should have good battery and internal storage.",Neu
What is its color?,Neu
Oh but I am looking for white color,Neg
But White is my favourite color ,Neg
What is its cost?,Neu
Ok book this one for me,Neu
Thanks for helping me.,Pos
98,98
"Hello, I am looking for a good phone ",Neu
"Yes, battery should lasts long as I have a field job",Neu
What is its cost?,Neu
Oh that's out of my budget,Neg
Yes I understand your point but still I don't have that much money to spend on,Neg
What is its color?,Neu
I will take it then,Neu
Thannks a ton. You have been very helpful.,Pos
99,99
"Hey, I want to buy a phone",Neu
I want to buy Galaxy Note7 by Samsung,Neu
How is the camera quality?,Neu
That's very good. What is its display screen size?,Neu
what is its internal RAM?,Neu
"oh, I want high storage phone at lease 128 GB",Neg
What is its price?,Neu
"Perfect, I will take it. Kindly gift wrap it.",Pos
Thanks a ton,Pos
100,100
"Hello, I am in urgent need of a good phone.",Neu
I don't have much requirement. Camera quality is my primary focus.,Neu
What is its primary and secondary camera quality?,Neu
What is its ReleasedYear?,Neu
"oh, I want 2016  Released Year phone",Neg
But I am interested in buying old phone as I will get it at less cost,Neu
What is its price?,Neu
I will buy it.,Neu
Thank you for your time,Pos
101,101
Hello. I want a good phone,Neu
I want to buy phone with at least 15MP primary camera,Neu
How much does it cost ? ,Neu
Does it uses Android OS?,Neu
I want in Android OS only.,Neu
I am sorry I am not comfortable in Mic OS phone,Neg
Okay book this model for me.,Neu
Thanks for helping me.,Pos
102,102
"Hello, I want to buy a new phone.",Neu
I want to buy a 2017 released phone with radio facility,Neu
What is its battery?,Neu
What color is it?,Neu
What is its price?,Neu
It is too costly for me. Do you have something in less?,Neg
ok can you book it for me,Neu
Thanks a lot for your time,Pos
103,103
"Hey, I need phone info.",Neu
I want a DualSim Android phone,Neu
What is its price?,Neu
but it is out of my budget,Neg
it looks good enough.,Pos
Ok please complete the booking process.,Neu
Thanks a lot for your time,Pos
104,104
"I need to buy a phone, am i at right place?",Neu
Phone which is good for selfie and high battery capacity,Neu
No thats all.,Neu
what about battery ?,Neu
Oh much lesssss!,Neg
Could it be 3000mAH or so ?,Neu
what is it's both camera ? ,
It sounds great.,Pos
Ok can you book it for me?,Neu
Thanks for assistance.,Pos
105,105
I wanna buy a phone which fulfills all my requirements.,Neu
I want to buy a trending latest  phone,Neu
what are its specification?,Neu
oh but I want 6 GB RAM phone,Neg
But I do multitasking in my phone for which I would need 6 GB RAM Phone,Neg
it looks good.,Pos
Ok book this one for me,Neu
Thanks for helping me.,Pos
106,106
"Hello , can you help me in selecting a phone ?",Neu
 I want to buy a white color dualsim phone  for my son.,Neu
"I have budget constraints, it should be under 400 Euro",Neu
What is its display size?,Neu
"oh, I want a phone which has less display size",Neg
But I am not comfortable carrying big phone,Neg
What is its price?,Neu
"Perfect, I will take it. Kindly gift wrap it.",Pos
Thanks a ton,Pos
107,107
I am in urgent need of a phone,Neu
I want a small Display Size phone with the internal RAM of 64 GB.,Neu
Sounds good. Does it has Radio jack?,Neu
"My bad luck,do you have some other brand phone with same feature?",Neg
Suggest me some other phone coz  often listen to Radio,Neg
Does GPS works on it?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
108,108
I wanna buy a phone which fulfills all my requirements.,Neu
Camera should be excellent ,Neu
How much storage does it offer?,Neu
And how about the Primary Camera?,Neu
How much storage does it offer?,Neu
How much is it for?,Neu
"Oh no, that’s very expensive, help me with a cost-effective phone which has got both good camera and good storage.",Neg
Yeah but my budget is less. I can't afford it,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
109,109
"Hey, I want to gift a phone to my brother",Neu
"yes, I want a big display size GPS operated phone ",Neu
What is its price?,Neu
Unfortunately that's too costly for me. Do you have something in less?,Neg
"Yes, but i can't spend that much on my phone",Neg
What is its color?,Neu
what is its weight?,Neu
Sounds good to me. Please book it for me,Pos
Thanks for all your time.,Pos
110,110
"Good Evening, I am looking for a phone",Neu
 I need to have a phone that has high RAM and good battery life.,Neu
What is its color?,Neu
what about radio ?,Neu
"Oh, I want radio in my phone",Neg
But I often listen to Radio,Neg
What is its price?,Neu
"Okay, I will take this phone.",Pos
thanks a ton,Pos
111,111
"Hey, I want to buy a phone.",Neu
I want a tripel sim phone.,Neu
what is its camera quality?,Neu
What is its color?,Neu
I don't like black color. Do you have in some other color?,Neg
what is its cost?,Neu
"Okay, I will take this phone.",Neu
You are a very good salesman. Thanks a lot,Pos
112,112
I am looking for a good phone,Neu
I want a small display size phone with good internal RAM ,Neu
I want in black color.,Neu
What is its OS,Neu
I don't want BlackBerry OS phone. I am comfortable with Android operating phone,Neg
What color is it available in your store/?,Neu
"Okay, I will book it",Neu
Thanks a lot.,Pos
113,113
"Hello, I am in urgent need of a good phone.",Neu
I don't have much requirement. Camera quality is my primary focus.,Neu
What is its primary and secondary camera quality?,Neu
"oh, I take too many selfie so I want higher quality secondary phone i.e 13 MP+. ",Neg
True but my friend have suggested to go for phone with 13 MP secondary camera,Neg
What is its price?,Neu
I will buy it.,Neu
Thank you for your time,Pos
114,114
"Hi, I want to buy a phone",Neu
I want recent released HTC phone.,Neu
What is its cost?,Neu
I am looking for a phone which is less that 250 Euro,Neg
Yeah but I have limited money so can't afford it,Neg
I will buy it.,Neu
Thanks a lot,Pos
115,115
"Hello, I am in search of  a good phone.",Neu
"No, It should be DualSim and GPS operated phone",Neu
"Great, what is its ReleasedYear and ReleasedMonth?",Pos
"oh, that's an old phone. Do you have recently released phone?",Neg
But I would go for recently released phone,Neg
What is its cost?,Neu
What is its weight,Neu
"Okay, I like this phone. Pack it for me.",Neu
Thanks a lot for your time,Pos
116,116
"Hi, I want to buy a phone",Neu
"Actually, I am not restricted to any particular model but i need to have a phone that have high memory.",Neu
What is its memory?,Neu
