USER,INTENT,Slot-Value,Value,B-I-O Tag
It should be i5-8250U processor having an Intel Core. Could you tell me some other specifications?,Request,Processor-i5-8250U,i5-8250,O O O B-Processor O O O O O O O O O O
"How much graphics does it have? Because I do a lot of gamming, I need higher graphics processing capacity.",Request,GPU-UNK,UNK,O O B-GPU O O O O O O O O O O O B-Gpu O O
"Okay, just tell me how much it costs.",Request,Cost-UNK,UNK,O O O O O O O B-Cost
Woah! This is priced like gold.,Reject,NA,NA,O O O O O O
I still don't believe this price justifies this model because the specs dosen't match this caliber of price tag.,Reject,NA,NA,O O O O O B-Cost O O B-Model O O O O O O O O B-Cost O
Is there any discount available?,Request,NA,NA,O O O O O
Fine! I would like to buy this. Kindly book my order and deliver it ASAP,BookingReq,NA,NA,O O O O O O O O O O O O O O O
Do you have smartphones also? If yes then show me that too.,PhoneSelReq,NA,NA,O O O O O O O O O O O O
"Yes,  https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg is the picture. Do you have this?",Inform,NA,NA,O O O O O O O O O
Please describe the features to me.,Request,NA,NA,O O O B-Feature O O
Yes! Let me know the cost of the smartphone.,Request,Cost-UNK,UNK,O O O O O B-Cost O O O
Yeah! Book both products for me.,BookingReq,NA,NA,O O O O O O
Sure ! thankyou.,Gratitude,NA,NA,O O O
3,,,,
Hello and good evening.,Gratitude,NA,NA,O O O O
I'd like to ask you a question about a smartphone.,PhoneSelReq,NA,NA,O O O O O O O O O O
Right now I'm not sure which model it is.,Inform,Model-UNK,UNK,O O O O O O B-Model O O
"Yes, It has a main and secondary camera with a resolution of 16 megapixels.",Inform,S_Camera-16,16,O O O O O O O O O O O O B-Resolution O
It is gold in colour. Will it be of assistance?,Inform,Colour-GOLD,GOLD,O O B-Colour O O O O O O O
"I have an image of the phone, if it is helpful then I can share the image.",Inform,NA,NA,O O O O O O O O O O O O O O O O O
"Here it is 
https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.amazon.in%2FVivo-Gold-64GB-Without-Offers%2Fdp%2FB07CQ3WV3C&psig=AOvVaw29_QuGYFkfgh64BUXuiY5f&ust=1634983556250000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCLCp1sPi3fMCFQAAAAAdAAAAABAE",Inform,NA,NA,O O O O
I had Vivo phones before. They are really nice. Can you please tell me its features?,Feedback,Brand-Vivo,Vivo,O O B-Brand O O O O O O O O O O O O B-Feature
That's good. How much does it cost?,Request,Cost-UNK,UNK,O O O O O O B-Cost
Oops! It is seems expensive.,Reject,NA,NA,O O O O O
I doubt if it can be a good value for money.,Reject,NA,NA,O O O O O O O O O O O
I don't think I can afford this phone right now. I will save some money for this and come later.,Reject,NA,NA,O O O O O O O O O O O O O O O O O O O O
"No, Thankyou for now. I will wait till I save some cash.",Close,NA,NA,O O O O O O O O O O O O
Yeah. Thank you so much.,Gratitude,NA,NA,O O O O O
4,,,,
Hello and good morning. I'd like to purchase a mobile with a head-turning effect on everyone.,PhoneSelReq,NA,NA,O O O O O O O O O O O O O O O O
I have no budget limitation. Show me a premium one.,SuggestionReq,Cost-UNK,UNK,O O O B-Cost O O O O O O
"I've tried Samsung, but it lacks the head-turning effect.",Feedback,Brand-Samsung,Samsung,O O B-Brand O O O O O O
Which is the most recent iPhone in the market?,Request,Model-iPhone,iPhone,O O O O O B-Model O O O
Which one is the latest?,Request,ReleaseDate-Latest,Latest,O O O O B-ReleaseDate
Please tell me about the features of the phone.,Request,Featurs-UNK,UNK,O O O O O B-Feature O O O
Just 3 GB of RAM! How can this be a premium phone?,Request,RAM-3,3,O B-RAM O O O O O O O O O O
What colour choices do you have available?,Request,Colour-UNK,UNK,O B-Colour O O O O O
Great. Please book one for me.,BookingReq,NA,NA,O O O O O O
"Okay, Thank you so much.",Gratitude,NA,NA,O O O O O
5,,,,
"Hello, Good morning.",,NA,NA,O O O
I would like to buy a decent camera.,CameraSelReq,NA,NA,O O O O O O O O
It should be a Nikon camera .,SuggestionReq,Brand-Nikon,Nikon,O O O O B-Brand O
It should be upto 100 EUR and should be released in 2007. Because previously I was using the same.,Inform,"Budget-100, ReleaseDate-2007","100, 2007",O O O O B-Cost O O O O O O B-ReleaseDate O O O O O O O
"This time I want a camera with Night vision, my previous one doesn't have that feature.",Request,Feature-UNK,UNK,O O O O O B-Camera O O O O O O O O O B-Feature
Can you explain its features?,Request,Feature-UNK,UNK,O O O O B-Feature
What is its zoom range?,Request,ZoomRange-UNK,UNK,O O O B-Range O
"Yes, tell me about the battery. I don't want heavy camera.",Request,Battery-UNK,UNK,O O O O B- Battery O O O O O B-camera
"Without a doubt, this camera is a safer choice. How much does it costs?",Request,Cost-UNK,UNK,O O O O O O O O O O O O O B-Cost
"That's great, book one for me.",BookingReq,NA,NA,O O O O O O
"Okay, thankyou for your service.",Close,NA,NA,O O O O O
6,,,,
Hi there.,,NA,NA,O O
I've come to purchase a smartphone.,PhoneSelReq,NA,NA,O O O O O O
I want my smartphone to be up to 500 EUR. Is there any within this price range?,Inform,Budget-UNK,UNK,O O O O O O O O B-Cost O O O O O O B-Cost O
Only Vivo has my confidence. It is an excellent camera phone.,Inform,Brand-Vivo,Vivo,O B-Brand O O O O O O O B-Camera O
I decided to research on mobile photography. I figured it would make a nice option.,Inform,NA,NA,O O O O O O O O O O O O O O O
"Okay, That will be wonderful.",Inform,NA,NA,O O O O O
Would you please mind elaborating some more of its features?,Request,Feature-UNK,UNK,O O O O O O O O O B-Feature
It seems good. Is there a GPS?,Request,GPS-UNK,UNK,O O O O O O B-GPS
And what colours does it come in?,Request,Colour-UNK,UNK,O O B-Colour O O O O
Do you have black in option?,Request,NA,NA,O O O B-Colour O O
But i want my phone in black colour.,Reject,Colour-BLACK,BLACK,O O O O O O B-Colour O
I haven't used this colour before. Are you sure it will look good?,SuggestionReq,NA,NA,O O O O B-Colour O O O O O O O O
"Okay then, Please book one for me.",BookingReq,NA,NA,O O O O O O O
"No that's it, Thank you for your service.",Close,NA,NA,O O O O O O O O
7,,,,
"Hi, Good Morning.",Gratitude,NA,NA,O O O
Can you recommend a decent phone for me?,PhoneSelReq,NA,NA,O O O O O O O O
I have no specific brand in my mind. The phone's price should be upto 500 EUR and have some decent features.,Inform,Budget-500,500,O O O O O O O O O O B-Cost O O O B-Cost O O O O O O
It should be a dual sim port and 4 GB of RAM. Because I play a lot of games on my phone.,Inform,RAM-4,4,O O O O B-Sim O O B-RAM O O O O O O O O O O O O
Yes. What is its battery capacity?,Request,Battery-UNK,UNK,O O O O B-Battery O
That will not be sufficient. I want battery capacity to be at least 7000 mAh.,Inform,NA,NA,O O O O O O O B-Battery O O O O O O O
"See, I know how long I use my phones. I bet it will not last that long at least in my case.",Reject,NA,NA,O O O O O O O O O O O O O O O O O O O O O O
Tell me more features of it.,Inform,Feature-UNK,UNK,O O O O O O
What about the weight and storage of the phone?,Request,Weight-UNK,UNK,O O O B-Weight O B-Storage O O O
Can you do me a favour? It should be either in gold or in silver.,Request,Colour-UNK,UNK,O O O O O O O O O O O B-Colour O O B-Colour
How much does it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
It is a little expensive. I have budget of 500 only.,Inform,NA,NA,O O O O O O O O O B-Cost O
"Yes, I get it. But I am doubtful about the phone's overall performance.",Feedback,NA,NA,O O O O O O O O O O O O O
Okay. Kindly book it for me.,BookingReq,NA,NA,O O O O O O
"No, that's it. Thank you so much for your support.",Close,NA,NA,O O O O O O O O O O
8,,,,
Hello and good afternoon.,Gratitude,NA,NA,O O O O
I want to purchase a camera.,CameraSelReq,NA,NA,O O O O O O
Nikon is my preferred camera. I hope it is available.,Inform,Brand-Nikon,Nikon,B-Brand O O O O O O O O O
"No, Right now there is no specific model in my mind.",Inform,NA,NA,O O O O O O O O O O O
"Yes, please bring me something in the vicinity of 200 EURO.",Inform,Budget-200,200,O O O O O O O O O B-Cost O
"However, the resolution isn't great. Show me the one with better resolution.",Reject,NA,NA,O O O O O O O O O O O O
What is it's zoom range?,Request,ZoomRange-UNK,UNK,O O O B-Zoomrange O
That's excellent. Would it be convenient for users while travelling.,SuggestionReq,NA,NA,O O O O O O O O O O
How much will it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
It is out of my budget.,Reject,NA,NA,O O O O O O
Is there any discount available?,Request,NA,NA,O O O O O
Okay. I'm glad you have told me about this.,Inform,NA,NA,O O O O O O O O O
"Yes, Please make a reservation for me.",BookingReq,NA,NA,O O O O O O O
Thank you for your assistance.,Gratitude,NA,NA,O O O O O
9,,,,
Hello there!,Gratitude,NA,NA,O O
"Yesterday, someone stole my laptop.",Inform,NA,NA,O O O O O
I'd like to purchase a laptop.,LaptopSelReq,NA,NA,O O O O O O
Actually my previous laptop was of Asus. Do you have any?,Request,Brand-Asus,Asus,O O O O O O B-Brand O O O O
Yeah! It should be under 450 EUROS.,Inform,Cost-450,450,O O O O O B-Cost O
That's fantastic. What is the size of the central memory?,Request,RAM-UNK,UNK,O O O O O O O O O B-Memory
"So, how much wiil it cost?",Request,Cost-UNK,UNK,O O O O O B-Cost
That's fine. In which colour does it come?,Request,Colour-UNK,UNK,O O O O B-Colour O O O
"No, I want it in black colour.",Reject,Colour-BLACK,BLACK,O O O O O B-Colour O
Actually my previous one was of black colour.That's why I want this also to be in black.,Inform,NA,NA,O O O O O O B-Colour O O O O O O O O O O
Are you sure that it will look good?,SuggestionReq,NA,NA,O O O O O O O O
Okay! Then book it for me.,BookingReq,NA,NA,O O O O O O
"No,Thank you so much.",Gratitude,NA,NA,O O O O
10,,,,
Hello there. If you have a few moments to spare?,Request,NA,NA,O O O O O O O O O O
I want to purchase a phone.,PhoneSelReq,NA,NA,O O O O O O
Do you own a Sony Xperia XZ Premium?,Request,"Brand-Sony,
Model-Xperia XZ Premium","Sony,
Xperia XZ Premium",O O O O B-Brand B-Model I-Model I-Model
I did a lot of research on it. It was beneficial.,Feedback,NA,NA,O O O O O O O O O O O
"No, it's Okay!. As I previously said, I am fully knowledgeable.",Inform,NA,NA,O O O O O O O O O O O
"Yes, please let me know how much it will cost.",Request,Cost-UNK,UNK,O O O O O O O O O B-Cost
Oops! I Wanted to buy it but unfortunately it is out of my budget. Is there any discount available?,Reject,NA,NA,O O O O O O O O O O O O O O O O O O O
Show me some other phone which is under the price range of 500 EUR. And it should have a 3000 mAh battery.,Request,"Budget-500, Battery-3000","500, 3000",O O O O O O O O O O O B-Cost O O O O O B-Battery O O
Okay Sure. Please recommend a decent phone for me.,SuggestionReq,NA,NA,O O O O O O O O O
That's fantastic. Isn't it going to be pricey?,Request,NA,NA,O O O O O O O O
You are right. Please book it for me.,BookingReq,NA,NA,O O O O O O O O
Thank you for your assistance,Gratitude,NA,NA,O O O O O
11,,,,
"Hello there, Good Morning. I've come to purchase a laptop.",LaptopSelReq,NA,NA,O O O O O O O O O O
"15-da0035nx, 15-da0035nx, 15-da0035n That is the name of the model.",Inform,NA,NA,O O O O O O O O O O
"Yes, it is an HP product. I used to have one like this which is now misplaced.",Inform,Brand-HP,HP,O O O O B-Brand O O O O O O O O O O O O
That's great. Let it aside for now. This is something I'm interested in purchasing. How much does it cost?,Request,Cost-UNK,UNK,O O O O O O O O O O O O O O O O O O B-Cost
Okay. If you have a phone as well?,PhoneSelReq,NA,NA,O O O O O O O O
I would like to have Gionee's A1 Plus.,Inform,Brand-Gionee,Gionee,O O O O O B-Brand O O
"Would you please elaborate its features? It is used by a friend of mine, but I am unaware of it.",Request,Feature-UNK,UNK,O O O O O O O O O O O O O O O O O O O O
Is there enough space for two SIM cards?,Request,Sim_Card-2,2,O O O O O O B-Sim O
That's fantastic. I like listening to the radio. In which color is it available?,Request,Color-UNK,UNK,O O O O O O O O O O B-Colour O O O
Is it available in black colour?,Reject,Colour-BLACK,BLACK,O O O O B-Colour O
Are you sure it will look good?,SuggestionReq,NA,NA,O O O O O O O
What is the weight of the phone?,Request,Weight-UNK,UNK,O O O B-Weight O O O
How much does it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
That's incredible—so many wonderful things in such a small package.,Feedback,NA,NA,O O O O O O O O O O
"Yes, Please make the reservation.",BookingReq,NA,NA,O O O O O
Thank you so much.,Gratitude,NA,NA,O O O O
12,,,,
"Hello, Good Evening.",Gratitude,NA,NA,O O O
I'd like to purchase a phone.,PhoneSelReq,NA,NA,O O O O O O
Do you have a HTC U11?,Request,Brand-HTC,HTC,O O O O B-Brand B-Model
In which color does it come?,Request,Colour-UNK,UNK,O O B-Colour O O O
"No, actually I want it in black colour.",Inform,Colour-BLACK,BLACK,O O O O O O B-Colour O
"Okay, sure.",SuggestionReq,NA,NA,O O
Any shade of black would suffice. Please elaborate its features.,Request,"Colour-Black, Feature-UNK","Black, UNK",O O O B-Colour O O O O O B-Feature
"Wow, that is incredible. Does it have two sim slots? What is it's display height?",Request,Sim-2,2,O O O O O O O O B-Sim O O O O B-Display O
Has it a GPS system.,Request,GPS-UNK,GPS,O O O B-GPS O
How much does it cost?,Request,Coat-UNK,UNK,O O O O B-Cost
Oops! It is out of my budget.,Reject,NA,NA,O O O O O O O
"Still, I can't afford it. Is there any way to get a discount?",Reject,NA,NA,O O O O O O O O O O O O O
"Okay, that's it. Please make a reservation for me.",BookingReq,NA,NA,O O O O O O O O O
"No, that's it. Thank you so much.",Close,NA,NA,O O O O O O O
13,,,,
Good morning . I'd like to purchase a smartphone that should be released between 2015 and 2017.,PhoneSelReq,NA,NA,O O O O O O O O O O O O O O B-ReleaseDate O O
I'm looking for a  phone with 4 GB  RAM. It should be in black colour and in the range of 200 EUR.,Inform,"RAM-4, 
Colour-Black, 
Budget-200","4, Black, 200",O O O O O O O O B-RAM O O O O O O O B-Colour O O O O O O B-Cost O
Please elaborate its features.,Request,Feature-UNK,UNK,O O O O
Excellent! How much does it cost?,Request,Cost-UNK,UNK,O O O O O B-Cost
"Wow, that was under my budget. For the first time, I heard the BLU name. Is this a reputed brand?",Request,Brand-BLU,BLU,O O O O O O O O O O O O O B-Cost O O O O O B-Brand
Okay then pack it for me.,BookingReq,NA,NA,O O O O O O
"Yes, I'd like to buy a laptop as well.",LaptopSelReq,NA,NA,O O O O O O O O O
"Yes, I'd like an Intel Core i3-7020U processor with a 1TB hard drive.",Inform,Processor- Intel_Core-i3-7020U,i3-7020U,O O O O O  O I-Processor O O O O O O
How much does it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
Okay. Please book it as well.,BookingReq,NA,NA,O O O O O O
Thank you so much.,Close,NA,NA,O O O O
14,,,,
"Hello, could you please assist me in selecting a compatible smartphone?",PhoneSelReq,NA,NA,O O O O O O O O O O O
Please recommend a decent smartphone brand suitable to me.,SuggestionReq,NA,NA,O O O O O O O O O
My brother praised about the quality of  HTC smartphones. please show me only HTC smartphones.,Inform,Brand-HTC,HTC,O O O O O O O B-Brand O O O O O B-Brand O
NO but I want the HTC smartphone to keep my brother memories in my heart. Also I want 4GB of ram and a good camera .,Inform,RAM-4,4,O O O O O B-Brand O O O O O O O O O O O O B-RAM O O O O O O O
Could you please elaborate  the features?,Request,Feature-UNK,UNK,O O O O O O
"This one is good, but I need a better main Camera Phone which will help me to take good selfies of my daughter.",Reject,Camera-UNK,UNK,O O O O O O O O O O B-Camera O O O O O O O O O O O O
"Yes, 16MP seems to be a reasonable choice. How much will it cost?",Request,Camera-16,16,O B-Camera O O O O O O O O O O B-Cost
Is it possible to have it in black?,Request,Colour-BLACK,BLACK,O O O O O O O B-Colour
"Yes, please make it in my order sections.",BookingReq,NA,NA,O O O O O O O O
"I want to buy one more new phone, which does not seems like a valuable smartphone.",PhoneSelReq,NA,NA,O O O O O O O O O O O O O O O O
I will use it to make phone calls.,Inform,NA,NA,O O O O O O O O
"It should be a Windows phone, not a smartphone.",Request,NA,NA,O O O O B-OS O O O O
"Sure, I'll go along with it. Please make a reservation for this one as well.",BookingReq,NA,NA,O O O O O O O O O O O O O O O
"Not now, Thank You.",Close,NA,NA,O O O O
15,,,,
"Hello there, I've come to purchase a mobile.",PhoneSelReq,NA,NA,O O O O O O O O
I saw a mobile advertisement in the newspaper a few days ago. I'm curious if you have it.,Inform,NA,NA,O O O O O O O O O O O O O O O O O O
"No, I don't recall the name, but I have an image which was available in the newspaper. https://drop.ndtv.com/TECH/product_database/images/6142017123101PM_635_htc_desire_628_dual_sIM.jpeg",Inform,NA,NA,O O O O O O O O O O O O O O O O O O
How much will it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
It is out of my budget. Do you have any other smartphones that are close to the HTC U Ultra and under the range of 500 EUROS.,Reject,Budget-500,500,O O O O O O O O O O O O O O O O O B-Brand  O O O O O B-Cost O
Yeah! what about the HTC 10 evo's features?,Request,Featur-UNK,UNK,O O O O B-Brand O O
What is the internal storage capacity of this phone?,Request,Storage-UNK,UNK,O O O O B-Storage O O O O
"No, I dont think it will sufficient!",Reject,NA,NA,O O O O O O O
Are you selling it in gold or platinum?,Request,Colour-UNK,UNK,O O O O O B-Colour O O
Okay. Please make a reservation for me.,BookingReq,NA,NA,O O O O O O O
Thank you so much for your support.,Close,NA,NA,O O O O O O O
16,,,,
Hello there. I'd like to purchase an Apple tab.,TabletSelReq,NA,NA,O O O O O O O B-Brand O
"Yes, for office work, I need a strong tab with cellular feature. Also having a strong battery backup is important for me.",Inform,"Feature-Cellular,
Battery-Strong","Cellular,
Strong",O O O O O O O O O O O O O O O O B-Battery O O O O O
Give me one with atleast 4000 mAh of battery. I think that would be suffecient.,Inform,Battery-4000,4000,O O O O O B-Battery O O O O O O O O O
What is the screen size?,Request,Display-UNK,UNK,O O O B-Screen size O
What operating system does it come with?,Request,OS-UNK,UNK,O B-Os O O O O O
Dose it support cellular feature?,Request,Feature-CELLULAR,CELLULAR,O O O O O
How much RAM does it have?,Request,RAM-UNK,UNK,O O B-RAM O O O
0.004882 GB RAM is insufficient. A minimum of 1 GB of storage is required.,Reject,Storage-1,1,B-RAM O O O O O O O B-RAM O O O O O
What is its RAM capacity?,Request,RAM-UNK,UNK,O O O B-RAM O
What is the battery specification?,Request,Battery-UNK,UNK,O O O B-Battery O
This seems to be the one for me. Please make a reservation.,BookingReq,NA,NA,O O O O O O O O O O O O
"No, not for now. Thank you so much for your support.",Close,NA,NA,O O O O O O O O O O O
17,,,,
"Hello, I'd like to purchase a Sony tablet for my sister.",TabletSelReq,NA,NA,O O O O O O B-Brand O O O O
"Okay, she needs it for her studies. I've heard of iPads as well. It should be more than 8000 mAh battery",Inform,NA,NA,O O O O O O O O O O O O O O O O O O O O B-Battery
Is it possible for her to use it for her studies?,Request,NA,NA,O O O O O O O O O O O
"Yes, what is the status of the battery?",Request,Battery-UNK,UNK,O O O O O O O B-Battery
What is the maximum amount of data I can store in this tab?,Request,Storage-UNK,UNK,O O O O O O O O O O O O O
How much does it costs?,Request,Cost-UNK,UNK,O O O O B-Cost
I want to purchase it and I also want a mobile.,PhoneSelReq,NA,NA,O O O O O O O O O O O
I'm not certain. How are Apple's smartphones performing?,SuggestionReq,Brand-APPLE,APPLE,O O O O O B-Brand O O
Then please recommend few smatphons to me. The camera shoud be 8 megapixels.,SuggestionReq,Camera-8,8,O O O O O O O O O O O B-Camera O
Is there a selfie camera on it?,Request,S_Camera-UNK,UNK,O O O O B-Camera O O
What is the cost?,Request,Cost-UNK,UNK,O O O B-Cost
It is out of my budget.,Reject,NA,NA,O O O O O O
Right now I will purchase only the tab.,Reject,NA,NA,O O O O O O O O
"No, Just book the tablet. I will see the smartphones later.",BookingReq,NA,NA,O O O O O O O O O O O
Thank you so much for your support.,Close,NA,NA,O O O O O O O
18,,,,
Hello there. If you have a few moments to spare?,Request,NA,NA,O O O O O O O O O O
I have to purchase an iPhone.,PhoneSelReq,NA,NA,O O O O O O
Please recommend a decent iPhone to me.,SuggestionReq,NA,NA,O O O O O O O
"No, I'm not very knowledgeable about smartphones. Show me one which is latest.",Request,NA,NA,O O O O O O O O O O O O O
Could you tell me what is its diplay size?,Request,Display-UNK,UNK,O O O O O O O B-Display O
What about the iPhone's battery life?,Request,Battery-UNK,UNK,O O O O B-Battery O
How much does it costs?,Request,Cost-UNK,UNK,O O O O B-Cost O
"Okay, please book it for me.",BookingReq,NA,NA,O O O O O O
"Yes, I want to purchase a tab also.",TabletSelReq,NA,NA,O O O O O O O O
"I've read nice things about the iPad mini 4, but is it any good? https://fdn2.gsmarena.com/vv/bigpic/ipad-mini-41.jpg",FeedbackReq,NA,NA,O O O O O O O I-Model O O O O O O O
How much does it costs?,Request,Cost-UNK,UNK,O O O O B-cost
What is it's colour?,Request,Colour-UNK,UNK,O O O B-Colour
"Okay, please book both of them for me.",BookingReq,NA,NA,O O O O O O O O
Thank you so much for your support.,Close,NA,NA,O O O O O O O
19,,,,
"Hey, do you have a mid-range camera?",CameraSelReq,NA,NA,O O O O O O O
It should be between 250 to 350 EUROS.,Request,Budget-350,350,O O O O B-Cost O B-Cost O
It must have a high maximum resolution and battery capacity should be 7mAh.,Request,MaxResolution-HIGH,HIGH,O O O O O B-Resolution O O O O O O B-Battery
What is its dimensions and weight?,Request,Weight-UNK,UNK,O O O B-Dimensions O B-Weight
"Okay, does it have enough space?",Request,Space-UNK,UNK,O O O O O O
What is the cost?,Request,Cost-UNK,UNK,O O O B-Cost
"Okay,I want to buy a laptop as well",LaptopSelReq,NA,NA,O O O O O O O O
One with a 14-inch touchscreen and an Intel processor should be seen.,Inform,Display-14,14,O O O B-Dispaly O O O B-Processor O O O O
I'd like a lot of storage. It should come with a 512 GB SSD.,Inform,Storage-512,512,O O O O O O O O O O O B-Storage O O
It should be between 3000 to 3500.,Inform,Budget-3500,3500,O O O O B-Cost O B-Cost
"I have read Dell, Acer, and Apple are all decent brands. That is what I would like.",Inform,Brand-UNK,UNK,O O O O O O B-Brand B-Brand O B-Brand O O O O O O O
How much is it going to cost me?,Request,Cost-UNK,UNK,O O O O O O B-Cost O
Is it possible to offer me a discount?,Request,NA,NA,O O O O O O O O
"Still, it is too expensive.",Reject,NA,NA,O O O O O
"Fair enough, I'll take these two from you.",Inform,NA,NA,O O O O O O O O
Thank you so much.,Close,NA,NA,O O O O
20,,,,
"Hello, I'm interested in purchasing a smartphone that I saw at a party last night. I don't know anything else about this phone, though. Will you able to assist me?",PhoneSelReq,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Yes. I have photos of that phone. This is the picture. https://static.acer.com/up/Resource/Acer/Smartphones/Liquid%20Zest%20/images/20160420/Acer-smartphone-Liquid-Zest-Black-preview.png,Inform,NA,NA,O O O O O O O O O O O O
"Okay, Can you tell me more about its features and specifications?",Request,Feature-UNK,UNK,O O O O O O O O O O O
Tell me about its external and internal RAM.,Request,RAM-UNK,UNK,O O O O O O B-RAM O
Just 1 GB of RAM is available. Is there any other model which has 2 GB of RAM?,Reject,RAM-2,2,O B-RAM O O O O O O O O O O O O B-RAM O O O
What colour is it?,Request,Colour-UNK,UNK,B-Colour
"Okay, that's very cool. What are its features?",Request,Feature-UNK,UNK,O O O O O O O O
Is it capable of taking a decent photo?,Request,NA,NA,O O O O O O O O
"Okay, that will work for me. Can you show me the picture?",Request,NA,NA,O O O O O O O O O O O O
"Wow, that was incredible. Please continue with the billing process.",BookingReq,NA,NA,O O O O O O O O O O
NO NO. You have to proceed only with this last model. That is Acer Liquid Jade S.,Inform,NA,NA,O O O O O O O O O O O O O B-Brand O O O
Thank you.,Close,NA,NA,O O
21,,,,
"Hello, I'm trying to purchase a laptop for coding. Will you be able to assist me?",LaptopSelReq,NA,NA,O O O O O O O O O O O O O O O O
"It should have a 1TB HDD and a Windows operating system. My friend has an HP laptop, which I despise. Please show me a different brand.",Request,Brand-UNK,UNK,O O O O O I-Storage O O B-OS O O O O O O B-Brand O O O O O O O O O O
"Great, how much does it cost?",Request,Cost-UNK,UNK,O O O O O B-Cost
"Oh, but it's very pricey.",Reject,NA,NA,O O O O O
I think it is still pricey.,Reject,NA,NA,O O O O O O
Do you have white laptops from various brands in the 2000-2500 EUR price range?,Request,Budget-2500,2500,O O O B-Colour O O O B-Brand O O O O B-Cost B-Cost O O O
Is it equipped with Nvidia graphics?,Request,GPU-NVIDIA,NVIDIA,O O O O B-GPU O
Should these laptops come with a discount?,Reject,NA,NA,O O O O O O O
I will hold off until the next price decline.,Reject,NA,NA,O O O O O O O B-Cost O
"No, not at all. Thank you.",Close,NA,NA,O O O O O O
22,,,,
"Hello, I've been searching for a decent smartphone. Could you please assist me?",PhoneSelReq,NA,NA,O O O O O O O O O O O O O
"It's for my brother. For his online courses, he needs it. He also enjoys video games.",Inform,NA,NA,O O O O O O O O O O O O O O O O
"I believe he would appreciate a larger display. I'd say 10 inches, but something larger than that would suffice.",Inform,Display-10,10,O O O O O O O O O O B-Display O O O O O O O O
"He enjoys playing video games. As a result, it must have at least 2 GB of RAM. He also likes charcol colour.",Inform,RAM-2,2,O O O O O O O O O O O O O B-RAM O O O O O O B-Colour O
What is the battery capacity?,Request,Battery-UNK,UNK,O O O B-Battery O
Just 2700mAh! It's a disappointment. Display me those that have a larger battery size.,Reject,NA,NA,O O O O O O O O O O O O B-Battery O
"Anything with a larger battery would be preferable. It should last the whole day. As a result, it must have a battery power of at least 4000 mAh.",Inform,Battery-4000,4000,O O O O B-Battery O O O O O O O O O O O O O O O O B-Battery O O O O B-Battery O
"Yes, I believe this will suffice. What is the cost?",Request,Cost-UNK,UNK,O O O O O O O O O B-Cost
What are you talking about? What is the reason for the enormous price?,Reject,NA,NA,O O O O O O O O O O O O B-Cost
What would my brother do for all of these additional features? Please show me some that are below my price point.,Reject,NA,NA,O O O O O O O O O O O O O O O O O O O B-Cost O
I have a budget of up to 110 EUR.,Inform,Budget-110,110,O O O O O O O O B-Cost
The colour black! I'm not sure if he'll like it or not.,Reject,Colour-BLACK,BLACK,O B-Colour O O O O O O O O O O
"I suppose I'll have to order it. It is, after all, for educational purposes.",Inform,NA,NA,O O O O O O O O O O O O O O
