USER,User Sentiment (-1 to 1)
What is the screen size?,0
What operating system does it come with?,0
Dose it support cellular feature?,0
How much RAM does it have?,0
0.004882 GB RAM is insufficient. A minimum of 1 GB of storage is required.,-1
What is its RAM capacity?,0
What is the battery specification?,0
This seems to be the one for me. Please make a reservation.,1
"No, not for now. Thank you so much for your support.",1
17,
"Hello, I'd like to purchase a Sony tablet for my sister.",0
"Okay, she needs it for her studies. I've heard of iPads as well. It should be more than 8000 mAh battery",0
Is it possible for her to use it for her studies?,0
"Yes, what is the status of the battery?",0
What is the maximum amount of data I can store in this tab?,0
How much does it costs?,0
I want to purchase it and I also want a mobile.,0
I'm not certain. How are Apple's smartphones performing?,0
Then please recommend few smatphons to me. The camera shoud be 8 megapixels.,0
Is there a selfie camera on it?,0
What is the cost?,0
It is out of my budget.,-1
Right now I will purchase only the tab.,-1
"No, Just book the tablet. I will see the smartphones later.",1
Thank you so much for your support.,1
18,
Hello there. If you have a few moments to spare?,0
I have to purchase an iPhone.,0
Please recommend a decent iPhone to me.,0
"No, I'm not very knowledgeable about smartphones. Show me one which is latest.",0
Could you tell me what is its diplay size?,0
What about the iPhone's battery life?,0
How much does it costs?,0
"Okay, please book it for me.",1
"Yes, I want to purchase a tab also.",0
"I've read nice things about the iPad mini 4, but is it any good? https://fdn2.gsmarena.com/vv/bigpic/ipad-mini-41.jpg",0
How much does it costs?,0
What is it's colour?,0
"Okay, please book both of them for me.",1
Thank you so much for your support.,1
19,
"Hey, do you have a mid-range camera?",0
It should be between 250 to 350 EUROS.,0
It must have a high maximum resolution and battery capacity should be 7mAh.,0
What is its dimensions and weight?,0
"Okay, does it have enough space?",0
What is the cost?,0
"Okay,I want to buy a laptop as well",1
One with a 14-inch touchscreen and an Intel processor should be seen.,0
I'd like a lot of storage. It should come with a 512 GB SSD.,0
It should be between 3000 to 3500.,0
"I have read Dell, Acer, and Apple are all decent brands. That is what I would like.",0
How much is it going to cost me?,0
Is it possible to offer me a discount?,-1
"Still, it is too expensive.",-1
"Fair enough, I'll take these two from you.",1
Thank you so much.,1
20,
"Hello, I'm interested in purchasing a smartphone that I saw at a party last night. I don't know anything else about this phone, though. Will you able to assist me?",0
Yes. I have photos of that phone. This is the picture. https://static.acer.com/up/Resource/Acer/Smartphones/Liquid%20Zest%20/images/20160420/Acer-smartphone-Liquid-Zest-Black-preview.png,0
"Okay, Can you tell me more about its features and specifications?",0
Tell me about its external and internal RAM.,0
Just 1 GB of RAM is available. Is there any other model which has 2 GB of RAM?,-1
What colour is it?,0
"Okay, that's very cool. What are its features?",0
Is it capable of taking a decent photo?,0
"Okay, that will work for me. Can you show me the picture?",0
"Wow, that was incredible. Please continue with the billing process.",0
NO NO. You have to proceed only with this last model. That is Acer Liquid Jade S.,1
Thank you.,1
21,
"Hello, I'm trying to purchase a laptop for coding. Will you be able to assist me?",0
"It should have a 1TB HDD and a Windows operating system. My friend has an HP laptop, which I despise. Please show me a different brand.",0
"Great, how much does it cost?",0
"Oh, but it's very pricey.",-1
I think it is still pricey.,-1
Do you have white laptops from various brands in the 2000-2500 EUR price range?,0
Is it equipped with Nvidia graphics?,0
Should these laptops come with a discount?,-1
I will hold off until the next price decline.,-1
"No, not at all. Thank you.",-1
22,
"Hello, I've been searching for a decent smartphone. Could you please assist me?",0
"It's for my brother. For his online courses, he needs it. He also enjoys video games.",0
"I believe he would appreciate a larger display. I'd say 10 inches, but something larger than that would suffice.",0
"He enjoys playing video games. As a result, it must have at least 2 GB of RAM. He also likes charcol colour.",0
What is the battery capacity?,0
Just 2700mAh! It's a disappointment. Display me those that have a larger battery size.,-1
"Anything with a larger battery would be preferable. It should last the whole day. As a result, it must have a battery power of at least 4000 mAh.",0
"Yes, I believe this will suffice. What is the cost?",0
What are you talking about? What is the reason for the enormous price?,-1
What would my brother do for all of these additional features? Please show me some that are below my price point.,-1
I have a budget of up to 110 EUR.,0
The colour black! I'm not sure if he'll like it or not.,-1
"I suppose I'll have to order it. It is, after all, for educational purposes.",1
"I'll take this one, thanks. Please continue with the billing process.",1
Thank you for your support.,1
23,
Hello. Will you be able to assist me in choosing an Android phone?,0
"On my daughter's birthday, I'd like to give it to her. Since she enjoys taking selfies, the camera can take precedence. Please search for the number 13MP.",0
Her favourite colours are gold and black.,0
I don't believe the display size would be a problem.It should be at least 5 inches.,0
I don't have any financial restrictions. Everything I want to do is get her a fantastic phone.,0
What other features does it have?,0
Just 2GB RAM! I don't think it will suffice. Atleast 4GB RAM wuold be needed.,-1
How much will it cost?,0
Is it 420 EUR? Is it a laptop or a phone? It is prohibitively expensive. I have a budget of 300 euros.,-1
"No, it is still out of my budget.",-1
"OK, please make a reservation for her at 43254785.",1
Thank you for the assistance.,1
24,
Hello and good evening. I'd like to purchase a laptop. I'm not sure which laptop is the best; could you assist me in purchasing one?,0
"It should have a 15.6-inch touchscreen, more internal RAM, and a 1TB hard drive.",0
Could you show me any laptops with similar specs?,0
What's the deal with disc space?,0
Is a 1TB HDD sufficient for everyday use?,0
What kind of graphics card does it have?,0
What exactly is CPU?,0
What's so unique about this laptop?,0
One more question to consider: what is the cost?,0
"Okay, it'll suffice. Could you kindly take care of the billing? Also, please have a discount.",1
"Okay, then just move on to billing.",1
Thank you so much.,1
25,
Hello. Can you recommend me a decent camera?,0
I want a camera to gift my friend. It should be both lightweight and capable of producing stunning images.,0
I heard about Casio. Show me something from this brand.,0
"Yes, it should be upto 250 EUR.",0
Can you tell me more about the Casio Exilim EX: S500?,0
Will this be a suitable birthday present?,0
Tell me a little bit more about this one.,0
What is the Normal focus range?,0
Is it better than Casio Exilim EX: S600?,0
What are their rates?,0
I'm going to go for the Casio Exilim EX: S600. My choice will please my friend quite a bit.,1
Indeed. Please book it for me.,0
Thank you so much for your time and support.,1
26,
Hello and good afternoon. Will you able to assist me?,0
I'd like to purchase a trendy smartphone. Can you show me a phone like that?,0
It should be an Android phone with 4G and dual SIM capability.,0
Tell me about its features.,0
"Okay, that's fantastic. What colour is it?",0
"Ok, but I need to look at another model before deciding which is better.",0
"Okay, What about their internal RAM and colour, by the way?",0
Which do you think is the better option?,0
"Okay, then just move on to billing.",1
"No, no, no. You could only continue with the billing of the Zenfone 3 Zoom ZE553KL.",1
Okay!,1
Thank you so much for your support.,1
27,
"Hello, I'd like to purchase a smartphone that I saw at a party last night. I don't know anything else about this phone, though. Will you able to assist me?",0
Yes I have a picture of the phone. Here it is. https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,0
"Okay, Can you tell me more about their features and specifications?",0
What does their RAM and internal RAM look like?,0
Just 0.004882813 GB RAM is available! That is very little. I wonder which brand it is.,-1
"No, show me an Asus phone with higher RAM.",-1
It should have atleast 4GB,0
What colour is it?,0
I want my phone in black colour. Do you have black as option?,-1
"Okay, that's very cool. What are the rest of the features?",0
Is it capable of taking a decent photograph?,0
Okay. Can i see a picture of the product?,0
Wow. That is too good. Please proceed with billing.,1
"NO. You have to proceed only with Asus Zenpad 3S 10 Z500M. Firstly, I want to buy the phone which I show you. but, that was not impressive.",1
Thank you.,1
28,
Hello there.,0
I'd like to buy a mobile.,0
Is it possible for you to show me any decent phones?,0
"I've never bought a phone before, so I'm not familiar with the brands or specs. Will you be able to assist me?",0
It should be upto 200 EUROS,0
"It should have a good battery backup and, most importantly, a lot of internal memory because I always run out of space. My current phone's capacity is still full. Which brand is it?",0
I don't think 64 GB storage will be sufficient.,-1
I play a lot of games on my phone. I doubt it will run out of space very soon.,-1
Okay. What colour is it in?,0
How much does it cost?,0
This is fantastic. Please go ahead and make this reservation for me.,1
Thank you so much for your support.,1
29,
Hello. I'd like to purchase a current-model laptop. Could you show me a laptop like that?,0
It is essential to have a big monitor and an Intel processor?,0
It should be upto 2500 EUROS.,0
"Yes, I just put my faith in the HP name.",0
"Okay, that's fantastic. What's the deal with disc space?",0
Tell me a little more about its features.,0
Just three stars! Can you show a laptop with higher user rating?,-1
What exactly is a graphics card?,0
I don't think 1TB HDD is sufficient for everyday use.,-1
What is the cost?,0
"Then, please book it for me.",1
It's incredible. Thank you so much for your time and support.,1
30,
"Hello, I've been searching for a decent smartphone for a while. Could you please assist me?",0
My family's situation is dire. So that is why I'm looking for a smartphone on a tight budget,0
It should be upto 200 EUROS,0
It should be an Android phone with 4G or 5G and dual SIM.,0
Please tell me a little bit about its features.,0
Is it capable of taking a decent photograph?,0
That's really cool. How much wili it cost?,0
"Okay, that's fantastic. What colour is it?",0
No! Do you have black color as option?,-1
But I like black colour.,-1
Will you please elaborate its other specifications and features?,0
Is it possible for you to show me their photos?,0
"Okay, then just move on to billing.",1
Thank you so much for your time and support.,1
31,
Hello there!,0
Can you kindly assist me in purchasing a tablet device?,0
"I'm currently using the HP brand, but I'm not happy with its features. I want an Apple product.",0
"Wow, that's fantastic. It has a great battery life. Please give me more details about the features.",0
"Okay, that's fantastic. What colour is it?",0
That is ideal. Could you please tell me how much this phone costs and how I can pay for it?,0
Kindly book it for me.,1
Do you have laptops from various brands in the 2000 EUR price range?,0
Is it equipped with Nvidia graphics?,0
Should these laptops come with a discount?,0
I'll hold off until the next price decline.,-1
"Thank you, just no. You just have to do with the tablet's billing.",-1
"Okay,! Thank you so much.",-1
32,
Hello and good morning.,0
I'd like to purchase a phone that meets all of my specifications.,0
My first criterion is that the phone must have an outstanding camera.,0
I'm hunting for a handset that costs less than 1000 euros.,0
What kind of storage capacity does it provide?,0
Could you please tell me? What are their characteristics and model?,0
What about the camera?,0
"Wow, that's fantastic. How much does it cost?",0
What other phones do you have if I want a handset with a lot of battery life?,0
What kind of storage capacity does it provide?,0
What about the battery?,0
How much is it going to cost?,0
"Oh no, that's too expensive; please guide me to a phone that's both affordable and has a decent camera and storage.",-1
What kind of discount would you provide?,0
Is it possible to use two SIM cards at the same time?,0
"Okay, book it for me",1
Thankyou so much.,1
33,
Hello and good morning.,0
I'd like to purchase a laptop.,0
I'm just interested in the Huawei name.,0
"I'm not sure what the exact specifications are, so please show me the best one.",0
How much does it cost?,0
It is pricey.,-1
"Nonetheless, I am unable to afford it. Please show me a different laptop.",0
I'm looking for something under 2000 EUR and an i5 cpu.,0
Is it a reputable brand?,0
Could you please describe the features to me?,0
"Wow, that's fantastic. Please make this reservation for me.",1
Thank you.,1
34,
Hello there. Will you be able to assist me?,0
"For my daughter, I'd like to purchase a camera. Her ambition is to work as a travel photographer.",0
I'm just interested in the Panasonic Lumix DMC-LC40.,0
How much will it cost?,0
It is pricey.,-1
"Nonetheless, I am unable to afford it. Please demonstrate a different camera to me.",-1
It should be in the range of 200 EUR.,0
Is it a reputable brand?,0
Could you please describe the features to me?,0
What are the weights of it?,0
"Wow, that's fantastic. Please make this reservation for me.",1
Thank you.,1
35,
Hello there!,0
I'd like to learn more about the Kyocera Finecam S4.,0
How much does it cost?,
"No thanks, it's too expensive. I'm afraid I won't be able to afford it.",-1
Please show me another Canon camera.,0
"I am not sure, just show me some Canon products and tell me if they're fine.",0
Could you please describe the features to me?,0
What is its weight?,0
Please make this reservation for me.,1
I'd like to purchase a phone also.This is what I'd like.  https://drop.ndtv.com/TECH/product_database/images/531201621827PM_635_lenovo_zuk_2_black.jpeg?downsize=*:180&output-quality=80&output-format=web,0
How much will it cost?,0
Will you please tell me the features?,0
"Yes, please make a reservation on both items for me.",1
Thank you.,1
36,
Hello there. Will you be able to assist me?,0
"I'd like to purchase a camera for my daughter, who wishes to pursue a career as a travel photographer.",0
I'm not sure what I'm talking about.,0
Its upto 300 EUROS.,0
Is it a reputable brand?,0
Could you please describe the features to me?,0
What is its weight?,0
"Wow, that's fantastic. Please make the reservation for me.",1
I'd like to purchase a phone also.,0
This is what I am looking for. https://drop.ndtv.com/TECH/product_database/images/xiaomi_mi5_db_ndtv_3344_480X960_47201634632PM.jpg?downsize=*:180&output-quality=80&output-format=webp,0
"Okay, tell me its features.",0
"All the components are of high quality, but I have my doubts about the Xiaomi name.",0
"OK, please make a reservation for me.",1
Thank you for your assistance.,1
37,
Hello there. Will you be able to assist me?,0
I'd like to purchase a laptop.,0
I'm looking for something like 2000 EUR and an i5 cpu.,0
How much will it cost?,0
It is too expensive. Is there any discount available?,-1
Is it a reputable brand?,0
Could you please describe the features to me?,0
"Wow, that's fantastic. Please make this reservation for me.",1
I want to buy a camera also.,0
I'd like to learn more about the Kyocera Finecam S4.,0
How much does it cost?,0
"No thanks, it's too expensive. I'm afraid I won't be able to afford it.",-1
Please just book the Lenovo IdeaPad S340.,-1
Thank you.,-1
38,
Hello there. Will you be able to assist me?,0
I'd like to purchase a phone.,0
"This is what I'd like. OK, please tell me the details.  https://i01.appmifile.com/webfile/globalimg/en/goods/mi5/h-12-1.jpg",0
How much does it cost?,0
Does it comes with atleast 3000mAh battery. What about the ram and camera?,0
"OK, please make a reservation for me.",1
I'd like to purchase a camera also.,0
"I'm not sure what the exact specifications are, but here's a link: https://tse2.mm.bing.net/th?id=OIP. cVNcHCSWwbFCtERyYJUjAAAAA&pid=Api&P=0&w=300&h=300",0
Its cost is excessive.,-1
"I really can't afford it, so please just book Xiaomi Mi5 devices for me.",-1
I will purchase the phone only.,-1
No thank you.,-1
39,
Hello and good morning. I'm looking for a laptop.,0
I'm looking for an Asus X543MA laptop.,0
Please describe the features to me.,0
How much does it cost?,0
It is too expensive.,-1
Is there no way to get a discount?,-1
"Okay, please make a reservation for the Asus X543MA laptop.",1
"Yes, I'd like to buy one camera as well.",0
I'd like to learn about the Olympus C-2000 Zoom.,0
What about the storage?,0
How much does it cost?,0
"Okay, please make a reservation for both items.",1
Thank you so much.,1
40,
Hello there! I'd like to purchase a laptop.,0
I'm not familiar with the requirements. But I want dell.,0
It should be in the range of 2000 EUR.,0
I want an i5 processor.,0
"No, I want to purchase a Dell laptop. Show me with an i3 processor.",0
Is there some way to get a discount on this?,-1
Please describe the features to me.,0
What is the size of it?,0
Kindly make a reservation for me?,1
Thank you so much.,1
41,
"Good morning,",0
I'd like to purchase a camera.,0
I'm not sure what the exact requirements are.,0
It should be in the range of 150 EUROS.,0
Do you have the Canon PowerShot 350?,0
How much does it cost?,0
What about its resolution?,0
Can you suggest me a camera with better resolution?,-1
Tell me more of its features.,0
"Kindly, make a reservation for me?",1
Thank you so much.,1
42,
Hello there!,0
"On my girlfriend's birthday, I'd like to buy her a phone.",0
"I'd like 6 GB of RAM, a good camera, and a large battery capacity.",0
"Since my girlfriend is a solo traveller, I need a high-capacity battery as well as a high-quality camera.",0
Could you tell me anything about its characteristics?,0
How much does it cost?,0
It is prohibitively costly.,-1
"So, what other functionality does it have, such as GPS?",0
"OK, could you please make a reservation for me?",1
"No, Thank you.",1
43,
Hello there. Will you be able to assist me?,0
I'd like to purchase a laptop.,0
"Ok, I'd like an i7 processor and a 15-inch screen.",0
"Yes, I'm looking for a Lenovo laptop.",0
Could you tell me anything about how it's displayed?,0
What is the cost?,0
It is prohibitively costly. Is there no way to get a discount?,-1
It is still expensive.,-1
Please set it aside and show me a camera.,0
"Yes, please demonstrate the Nikon Coolpix 7900 to me.",0
Please describe the features to me.,0
Please make a reservation for me.,1
"Yes, I will buy both items.",1
Thank you so much.,1
44,
Hello there. Will you be able to assist me?,0
I am a proffesional photographer. I'd like to purchase a camera.,0
I'm looking for a Leica V-LUX 1.,0
How much will it cost?,0
It is too expensive.,-1
Is there no way to get a discount?,-1
Please put it on the side and show me a laptop.,0
I'd like to purchase a Huawei MateBook D laptop.,0
Could you tell me anything about its characteristics?,0
What about the graphics?,0
Please make a reservation for me.,0
"Yes, reserve both products for me.",0
Thank you so much.,0
45,
Hello there. Will you be able to assist me?,0
I'd like to purchase a phone.,0
"Vivo phones are equipped with good camera probably 15mp, I would like to have something like this.   https://drop.ndtv.com/TECH/product_database/images/11172016111139AM_635_vivo_xplay6.jpeg?downsize=*:180&output-quality=80&output-format=webp",0
How much will it cost?,0
It's just too costly.,-1
"Nonetheless, I am unable to afford it. Could you please show me another?",-1
It should be under 200 EUR and have a high-quality camera.,0
What are its features?,0
What colour does it have?,0
This is a colour that I really like.,0
"OK, please make a reservation for me.",1
Thank you so much.,1
46,
"Good morning, I'd like to purchase a camera.",0
I'd like to learn more about the Olympus C-2000 Zoom.,0
How much will it cost?,0
"Yes, please reserve this item.",1
Show me one more camera.,0
I'm not sure what the exact requirements are.,0
Canon PowerShot 350 is what I'm looking for.,0
Please describe the features to me.,0
It has a limited maximum resolution. Please tell me something more.,-1
I want a better maximum resolution.,-1
It should be atleast 2000 pixels.,0
Could you please tell me what it's made of?,0
"Satisfying, Could you please make a reservation for me?",1
Thank you so much.,1
47,
Hello there. Will you able to assist me?,0
I'd like to purchase a laptop.,0
"Ok, I'd like an i7 processor and a 15-inch screen.",0
"Yes, I'm looking for a Lenovo laptop.",0
Could you tell me anything about how it's displayed?,0
What is the cost?,0
It is prohibitively costly. Is there no way to get a discount?,-1
"Stll, the cost is excessive.",-1
"Ok! Its satisfying, please make a reservation for me.",0
I'd like to purchase a smartphone.,0
"I'm not sure what the exact specifications are, but here's an illustration: Do you have a vivo xplay6?  https://drop.ndtv.com/TECH/product_database/images/11172016111139AM_635_vivo_xplay6.jpeg?downsize=*:180&output-quality=80&output-format=webp",0
Okay! Could you please reserve all products for me?,1
No that's it. Thank you so much.,1
48,
Hello there. Will you able to assist me?,0
I'd like to purchase a laptop.,0
I'd like to purchase a Huawei MateBook D laptop for my office work.,0
Could you tell me anything about its features?,0
What is the visuals?,0
It seems satisfying.,0
Please make a reservation for me.,1
"I'd like to purchase a phone.This is what I'd like.
https://drop.ndtv.com/TECH/product_database/images/xiaomi_mi5_db_ndtv_3344_480X960_47201634632PM.jpg?downsize=*:180&output-quality=80&output-format=webp",0
"OK, will you tell me the features?",0
"All of the components are of high quality, but I have my doubts about the Xiaomi name.",-1
"OK, please make a reservation for me.",1
Thank you so much.,1
49,
Hello and Good Morning.,0
Could you please show me a camera?,0
"Yes, please demonstrate the Nikon Coolpix 7900 to me.",0
Please describe the features to me.,0
What about the storage?,0
Please make a reservation for me.,1
I'd really like to get my wife a cell.,0
BLU Life One X2 Mini is what I'm looking for.,0
Could you tell me what it's made of?,0
What colour is it?,0
I want the phone in black colour. Is it available in black,-1
"OK, please make a reservation for me.",1
Thank you so much.,1
50,
"Hello, may you please assist me in purchasing a phone?",0
"I'm not sure about the specifications, but I'd like to have one for my daughter, so please show me one with a decent camera.",0
It should be in the range of 200 EUR.,0
Tell me  its features?,0
What colour is it?,0
I dont think my daughter will like this colour?,1
I still doubt she will like it.,1
"Okay, so reserve this item for me.",1
"Yes, may you tell me more about the Apple MacBook Air?",0
What is the cost?,0
Its too expensive. Is there any discount available?,-1
I can't afford it. It i totally out of my budget.,-1
